"RIGHT","LEFT","SCUTE.REMOVED","PIT.TAG/CWT/FLOY","STOCKING.LOCATION","HATCHERY","FEMALE","MALE","STOCK.DATE","SPAWN.DATE","YEAR.CLASS","NUMBERS.STOCKED","AGE.AT.STOCKING","YEARLING.EQUIVALENTS","RPMA"
"Purple","H-Black",NA,NA,"Fallon","Gavins Point","470A675627","115626162A",2008-09-14,2008-06-26,2008,452,"Fingerling",113,2
"Purple","H-Black",NA,NA,"Fallon","Gavins Point","1F497F1801","115712453A",2008-09-14,2008-06-26,2008,620,"Fingerling",155,2
"Purple","H-Black",NA,NA,"Fallon","Gavins Point","1F497F1801","1F4849755B",2008-09-14,2008-06-26,2008,300,"Fingerling",75,2
"Purple","H-Black",NA,NA,"Fallon","Gavins Point","115559532A","1F4A13592B",2008-09-14,2008-06-26,2008,140,"Fingerling",35,2
"Purple","H-Black",NA,NA,"Fallon","Gavins Point","1F497F1801","7F7D2D723D",2008-09-14,2008-06-26,2008,150,"Fingerling",38,2
"Purple","H-Black",NA,NA,"Fallon","Gavins Point","470A675627","7F7F066471",2008-09-14,2008-06-26,2008,830,"Fingerling",208,2
"Purple","H-Brown",NA,NA,"Forsyth","Gavins Point","470A675627","115626162A",2008-09-14,2008-06-26,2008,393,"Fingerling",98,2
"Purple","H-Brown",NA,NA,"Forsyth","Gavins Point","1F497F1801","115712453A",2008-09-14,2008-06-26,2008,633,"Fingerling",158,2
"Purple","H-Brown",NA,NA,"Forsyth","Gavins Point","1F497F1801","1F4849755B",2008-09-14,2008-06-26,2008,640,"Fingerling",160,2
"Purple","H-Brown",NA,NA,"Forsyth","Gavins Point","115559532A","1F4A13592B",2008-09-14,2008-06-26,2008,251,"Fingerling",63,2
"Purple","H-Brown",NA,NA,"Forsyth","Gavins Point","1F497F1801","7F7D2D723D",2008-09-14,2008-06-26,2008,100,"Fingerling",25,2
"Purple","H-Brown",NA,NA,"Forsyth","Gavins Point","470A675627","7F7E55466D",2008-09-14,2008-06-26,2008,100,"Fingerling",25,2
"Purple","H-Brown",NA,NA,"Forsyth","Gavins Point","470A675627","7F7F066471",2008-09-14,2008-06-26,2008,373,"Fingerling",93,2
"Purple","H-Yellow",NA,NA,"Intake","Gavins Point","470A675627","115626162A",2008-09-14,2008-06-26,2008,223,"Fingerling",56,2
"Purple","H-Yellow",NA,NA,"Intake","Gavins Point","1F497F1801","115712453A",2008-09-14,2008-06-26,2008,428,"Fingerling",107,2
"Purple","H-Yellow",NA,NA,"Intake","Gavins Point","1F497F1801","1F4849755B",2008-09-14,2008-06-26,2008,1025,"Fingerling",256,2
"Purple","H-Yellow",NA,NA,"Intake","Gavins Point","115559532A","1F4A13592B",2008-09-14,2008-06-26,2008,200,"Fingerling",50,2
"Purple","H-Yellow",NA,NA,"Intake","Gavins Point","1F497F1801","7F7D2D723D",2008-09-14,2008-06-26,2008,250,"Fingerling",63,2
"Purple","H-Yellow",NA,NA,"Intake","Gavins Point","470A675627","7F7E55466D",2008-09-14,2008-06-26,2008,130,"Fingerling",33,2
"Purple","H-Yellow",NA,NA,"Intake","Gavins Point","470A675627","7F7F066471",2008-09-14,2008-06-26,2008,746,"Fingerling",187,2
"Purple","H-Red",NA,NA,"Sidney","Gavins Point","470A675627","115626162A",2008-09-14,2008-06-26,2008,181,"Fingerling",45,2
"Purple","H-Red",NA,NA,"Sidney","Gavins Point","1F497F1801","115712453A",2008-09-14,2008-06-26,2008,253,"Fingerling",63,2
"Purple","H-Red",NA,NA,"Sidney","Gavins Point","1F497F1801","1F4849755B",2008-09-14,2008-06-26,2008,253,"Fingerling",63,2
"Purple","H-Red",NA,NA,"Sidney","Gavins Point","115559532A","1F4A13592B",2008-09-14,2008-06-26,2008,50,"Fingerling",13,2
"Purple","H-Red",NA,NA,"Sidney","Gavins Point","1F497F1801","7F7D2D723D",2008-09-14,2008-06-26,2008,70,"Fingerling",18,2
"Purple","H-Red",NA,NA,"Sidney","Gavins Point","470A675627","7F7F066471",2008-09-14,2008-06-26,2008,239,"Fingerling",60,2
"Purple","H-Pink",NA,NA,"Wolf Point","Gavins Point","470A675627","115626162A",2008-09-14,2008-06-26,2008,154,"Fingerling",39,2
"Purple","H-Pink",NA,NA,"Wolf Point","Gavins Point","1F497F1801","115712453A",2008-09-14,2008-06-26,2008,767,"Fingerling",192,2
"Purple","H-Pink",NA,NA,"Wolf Point","Gavins Point","1F497F1801","1F4849755B",2008-09-14,2008-06-26,2008,415,"Fingerling",104,2
"Purple","H-Pink",NA,NA,"Wolf Point","Gavins Point","115559532A","1F4A13592B",2008-09-14,2008-06-26,2008,308,"Fingerling",77,2
"Purple","H-Pink",NA,NA,"Wolf Point","Gavins Point","1F497F1801","7F7D2D723D",2008-09-14,2008-06-26,2008,372,"Fingerling",93,2
"Purple","H-Pink",NA,NA,"Wolf Point","Gavins Point","470A675627","7F7E55466D",2008-09-14,2008-06-26,2008,395,"Fingerling",99,2
