"Date","No.Act","Alt1","Alt.1a","Alt.1b","Alt.2","Alt.2a","Alt.2b"
1931-04-25,6100,6100,6100,6000,6100,6100,6000
1931-04-26,6100,6100,6100,6000,6100,6100,6000
1931-04-27,6100,6100,6100,6000,6100,6100,6000
1931-04-28,6100,6100,6100,6000,6100,6100,6000
1931-04-29,6100,6100,6100,6000,6100,6100,6000
1931-04-30,6100,6100,6100,6000,6100,6100,6000
1931-05-01,6100,6100,6100,6000,6100,6100,6000
1931-05-02,6100,6100,6100,6000,6100,6100,6000
1931-05-03,6100,6100,6100,6000,6100,6100,6000
1931-05-04,6100,6100,6100,6000,6100,6100,6000
1931-05-05,6100,6100,6100,6000,6100,6100,6000
1931-05-06,6100,6100,6100,6000,6100,6100,6000
1931-05-07,6100,6100,6100,6000,6100,6100,6000
1931-05-08,6100,6100,6100,6000,6100,6100,6000
1931-05-09,6100,6100,6100,6000,6100,6100,6000
1931-05-10,6100,6100,6100,6000,6100,6100,6000
1931-05-11,6100,6100,6100,6000,6100,6100,6000
1931-05-12,6100,6100,6100,6000,6100,6100,6000
1931-05-13,6100,6100,6100,6000,6100,6100,6000
1931-05-14,8000,8000,8000,7900,8000,8000,7500
1931-05-15,8000,8000,8000,7900,8000,8000,7500
1931-05-16,8000,8000,8000,7900,8000,8000,7500
1931-05-17,8000,8000,8000,7900,8000,8000,7500
1931-05-18,8000,8000,8000,7900,8000,8000,7500
1931-05-19,8000,8000,8000,7900,8000,8000,7500
1931-05-20,8000,8000,8000,7900,8000,8000,7500
1931-05-21,8000,8000,8000,7900,8000,8000,7500
1931-05-22,8000,8000,8000,7900,8000,8000,7500
1931-05-23,8000,8000,8000,7900,8000,8000,7500
1931-05-24,8000,8000,8000,7900,8000,8000,7500
1931-05-25,8000,8000,8000,7900,8000,8000,7500
1931-05-26,8000,8000,8000,7900,8000,8000,7500
1931-05-27,8000,8000,8000,7900,8000,8000,7500
1931-05-28,8000,8000,8000,7900,8000,8000,7500
1931-05-29,8000,8000,8000,7900,8000,8000,7500
1931-05-30,8000,8000,8000,7900,8000,8000,7500
1931-05-31,8000,8000,8000,7900,8000,8000,7500
1931-06-01,8000,8000,8000,7900,8000,8000,7500
1931-06-02,8000,8000,8000,7900,8000,8000,7500
1931-06-03,8000,8000,8000,7900,8000,8000,7500
1931-06-04,8000,8000,8000,7900,8000,8000,7500
1931-06-05,8000,8000,8000,7900,8000,8000,7500
1931-06-06,8000,8000,8000,7900,8000,8000,7500
1931-06-07,8000,8000,8000,7900,8000,8000,7500
1931-06-08,8000,8000,8000,7900,8000,8000,7500
1931-06-09,8000,8000,8000,7900,8000,8000,7500
1931-06-10,8000,8000,8000,7900,8000,8000,7500
1931-06-11,8000,8000,8000,7900,8000,8000,7500
1931-06-12,8000,8000,8000,7900,8000,8000,7500
1931-06-13,8000,8000,8000,7900,8000,8000,7500
1931-06-14,8000,8000,8000,7900,8000,8000,7500
1931-06-15,8000,8000,8000,7900,8000,8000,7500
1931-06-16,8000,8000,8000,7900,8000,8000,7500
1931-06-17,8000,8000,8000,7900,8000,8000,7500
1931-06-18,8000,8000,8000,7900,8000,8000,7500
1931-06-19,8000,8000,8000,7900,8000,8000,7500
1931-06-20,8000,8000,8000,7900,8000,8000,7500
1931-06-21,8000,8000,8000,7900,8000,8000,7500
1931-06-22,8000,8000,8000,7900,8000,8000,7500
1931-06-23,8000,8000,8000,7900,8000,8000,7500
1931-06-24,8000,8000,8000,7900,8000,8000,7500
1931-06-25,8000,8000,8000,7900,8000,8000,7500
1931-06-26,8000,8000,8000,7900,8000,8000,7500
1931-06-27,8000,8000,8000,7900,8000,8000,7500
1931-06-28,8000,8000,8000,7900,8000,8000,7500
1931-06-29,8000,8000,8000,7900,8000,8000,7500
1931-06-30,8000,8000,8000,7900,8000,8000,7500
1931-07-01,8000,8000,8000,7900,8000,8000,7500
1931-07-02,8000,8000,8000,7900,8000,8000,7500
1931-07-03,8000,8000,8000,7900,8000,8000,7500
