"Alt","Year","Hatch_Date","New_0.9","New_1","Old_0.9","Old_1"
"NA",1975,1975-07-02,0.390352001998781,0.113654201995808,NA,NA
"NA",1975,1975-07-09,0.0944249169779648,0.0231187000631376,NA,NA
"NA",1975,1975-07-16,0.315283557325285,0.146481091774671,NA,NA
"NA",1976,1976-07-15,0.546096357280844,0.292981478820501,NA,NA
"NA",1983,1983-06-21,0.189677132860505,0.061023516161893,NA,NA
"NA",1987,1987-06-21,0.872469101431642,0.615975796540903,0.334218762947428,NA
"NA",1997,1997-07-05,0.894389494267189,0.741363358377984,0.541465012044456,0.0560038815443209
"NA",1997,1997-07-11,0.946421468398533,0.826364472226698,0.667217122894024,0.226579816723504
"NA",1997,1997-07-12,0.944944728179914,0.828439519910998,0.673450692812744,0.249539235968814
"NA",2011,2011-06-25,2.92435318007354e-05,5.19397410261177e-06,NA,NA
"NA",2011,2011-07-02,0.000356919509421972,6.75028324699561e-05,NA,NA
"NA",2011,2011-07-03,0.00499280766921398,0.000928046228050778,NA,NA
