"Year","Flow_Scenario","Max_Flows","Post_Peak_Date","Post_Peak_Flows","Low_Date","Median_Date","High_Date"
1984,"Alt.1b",22000,"1984-06-11",FALSE,NA,NA,"1984-06-08"
1984,"Alt.2",29000,"1984-06-09",TRUE,NA,NA,"1984-06-07"
1984,"Alt.2a",28800,"1984-06-04",TRUE,NA,NA,"1984-06-07"
1984,"Alt.2b",23100,"1984-06-11",FALSE,NA,NA,"1984-06-08"
1985,"No.Act",NA,NA,NA,NA,NA,NA
1985,"Alt1",30900,"1985-06-14",TRUE,NA,"1985-06-14","1985-06-11"
1985,"Alt.1a",24500,"1985-06-04",TRUE,NA,NA,"1985-06-07"
1985,"Alt.1b",31100,"1985-06-21",TRUE,"1985-06-25","1985-06-18","1985-06-18"
1985,"Alt.2",28900,"1985-06-10",TRUE,NA,"1985-06-14","1985-06-07"
1985,"Alt.2a",28700,"1985-06-04",TRUE,NA,NA,"1985-06-07"
1985,"Alt.2b",29300,"1985-06-18",TRUE,"1985-06-25","1985-06-15","1985-06-15"
1986,"No.Act",NA,NA,NA,NA,NA,NA
1986,"Alt1",23900,"1986-06-10",FALSE,NA,NA,"1986-06-07"
1986,"Alt.1a",20100,"1986-06-05",TRUE,NA,NA,NA
1986,"Alt.1b",17600,"1986-06-10",FALSE,NA,NA,"1986-06-07"
1986,"Alt.2",26900,"1986-06-09",TRUE,NA,NA,"1986-06-07"
1986,"Alt.2a",24600,"1986-06-05",TRUE,NA,NA,NA
1986,"Alt.2b",21100,"1986-06-10",FALSE,NA,NA,"1986-06-07"
1987,"No.Act",NA,NA,NA,NA,NA,NA
1987,"Alt1",24500,"1987-06-10",TRUE,NA,"1987-06-14","1987-06-07"
1987,"Alt.1a",24700,"1987-06-04",TRUE,NA,NA,"1987-06-07"
1987,"Alt.1b",24600,"1987-06-18",TRUE,NA,"1987-06-15","1987-06-15"
1987,"Alt.2",28700,"1987-06-10",TRUE,NA,"1987-06-14","1987-06-07"
1987,"Alt.2a",28900,"1987-06-04",TRUE,NA,NA,"1987-06-07"
1987,"Alt.2b",28800,"1987-06-18",TRUE,"1987-06-25","1987-06-15","1987-06-15"
1988,"No.Act",NA,NA,NA,NA,NA,NA
1988,"Alt1",NA,NA,NA,NA,NA,NA
1988,"Alt.1a",NA,NA,NA,NA,NA,NA
1988,"Alt.1b",NA,NA,NA,NA,NA,NA
1988,"Alt.2",NA,NA,NA,NA,NA,NA
1988,"Alt.2a",NA,NA,NA,NA,NA,NA
1988,"Alt.2b",NA,NA,NA,NA,NA,NA
1989,"No.Act",NA,NA,NA,NA,NA,NA
1989,"Alt1",NA,NA,NA,NA,NA,NA
1989,"Alt.1a",NA,NA,NA,NA,NA,NA
1989,"Alt.1b",NA,NA,NA,NA,NA,NA
1989,"Alt.2",NA,NA,NA,NA,NA,NA
1989,"Alt.2a",NA,NA,NA,NA,NA,NA
1989,"Alt.2b",NA,NA,NA,NA,NA,NA
1990,"No.Act",NA,NA,NA,NA,NA,NA
1990,"Alt1",NA,NA,NA,NA,NA,NA
1990,"Alt.1a",NA,NA,NA,NA,NA,NA
1990,"Alt.1b",NA,NA,NA,NA,NA,NA
1990,"Alt.2",NA,NA,NA,NA,NA,NA
1990,"Alt.2a",NA,NA,NA,NA,NA,NA
1990,"Alt.2b",NA,NA,NA,NA,NA,NA
1991,"No.Act",NA,NA,NA,NA,NA,NA
1991,"Alt1",NA,NA,NA,NA,NA,NA
1991,"Alt.1a",NA,NA,NA,NA,NA,NA
1991,"Alt.1b",NA,NA,NA,NA,NA,NA
1991,"Alt.2",NA,NA,NA,NA,NA,NA
1991,"Alt.2a",NA,NA,NA,NA,NA,NA
